"","V1","V2"
"2160",804.292124,2696.566071
"2161",825.8882863,2620.5449133
"2162",808.5411625,2606.3984185
"2163",809.6335818,2579.9581718
"2164",810.787019,2617.772621
"2165",816.58457,2609.714646
"2166",813.60597,2662.345865
"2167",793.75598,2590.1213
"2168",793.002044,2639.683252
"2169",785.694811,2611.118972
"2170",799.43741,2690.748829
"2171",787.583791,2686.44259
"2172",809.911357,2682.18318
"2173",793.1811,2735.115422
"2174",842.49974,2772.738946
"2175",820.592605,2776.303637
"2176",806.935405,2603.276903
"2177",795.1167,2576.25913
"2178",806.5845,2575.140444
"2179",795.81837,2614.505094
"2180",774.6255,2636.32184
"2181",798.08576,2576.725262
"2182",828.054064,2597.538647
"2183",813.455403,2575.75624
"2184",796.16624,2574.65783
"2185",776.93173,2581.797802
"2186",804.813675,2662.636498
"2187",797.16924,2730.645929
"2188",747.71231,2710.962445
"2189",793.55533,2679.235734
"2190",809.36776,2611.107291
"2191",808.38701,2693.662176
"2192",807.10782,2679.348811
"2193",760.130762,2603.828242
"2194",778.457577,2706.042657
"2195",820.647706,2671.595786
"2196",827.312615,2746.924315
"2197",798.17577,2751.20248
"2198",801.40852,2735.45543
"2199",792.52234,2643.7399
"2200",766.227551,2637.767061
"2201",790.84413,2665.22565
"2202",851.11298,2615.8063
"2203",819.67196,2699.02117
"2204",801.575696,2680.133413
"2205",825.319145,2706.71629
"2206",839.958718,2710.011787
"2207",803.03006,2715.877232
"2208",743.443716,2723.073721
"2209",812.521077,2697.781714
"2210",811.191508,2699.497449
"2211",822.21764,2692.18803
"2212",826.41914,2692.7512
"2213",799.75229,2781.09133
"2214",820.326636,2793.766976
"2215",784.732456,2705.480477
"2216",791.440657,2721.261825
"2217",775.4651135,2749.7084565
"2218",805.642533,2841.220673
"2219",794.69836,2744.771414
"2220",802.01796,2734.419323
"2221",789.67229,2656.81299
"2222",797.0571,2619.52289
"2223",804.67858,2675.73486
"2224",807.364,2598.798845
"2225",825.40161,2667.088026
"2226",800.31838,2659.294128
"2227",817.29712,2607.809462
"2228",799.58261,2577.248885
"2229",814.895858,2565.471932
"2230",801.65599,2561.68829
"2231",804.866741,2549.816071
"2232",795.22253,2600.3454
"2233",799.36157,2614.26673
"2234",793.52707,2643.34888
"2235",793.711795,2622.661799
"2236",799.288185,2623.80191
"2237",787.455025,2651.582612
"2238",813.896343,2642.292372
"2239",809.41178,2591.17588
"2240",803.052214,2628.632754
"2241",810.69281,2644.28999
"2242",797.366575,2648.302347
"2243",840.191197,2655.021753
"2244",804.50644,2620.21225
"2245",807.187488,2659.813138
"2246",803.59965,2681.802211
"2247",787.916033,2699.394344
"2248",805.437865,2681.988954
"2249",800.079957,2687.105626
"2250",786.5527915,2612.5913015
"2251",820.759982,2625.159052
"2252",800.49181,2688.09396
"2253",803.67913,2671.615798
"2254",821.10522,2680.78805
"2255",824.761913,2672.717053
"2256",826.0482829,2778.3017259
"2257",859.57979,2778.4864
"2258",833.14713,2804.949396
"2259",854.692444,2746.996334
"2260",792.68521,2806.757204
"2261",836.781307,2819.81391
"2262",803.585523,2756.380603
"2263",807.539952,2750.13422
"2264",836.277157,2743.293101
"2265",819.94653,2792.796896
"2266",793.70148,2843.118707
"2267",801.30852,2870.082656
"2268",840.91277,2853.651334
"2269",816.3979272,2801.9379502
"2270",793.689799,2721.282827
"2271",800.395313,2710.617012
"2272",801.59598,2688.755329
"2273",816.95343,2607.30153
"2274",800.889777,2602.725087
"2275",794.474786,2602.163216
"2276",804.82728,2610.197572
"2277",811.94275,2595.716359
"2278",810.04589,2602.670007
"2279",812.1754,2630.659012
"2280",812.306864,2578.972894
