Epoch time,Significant Wave Height (m)
1662645441,0.29
1662647241,0.29
1662649041,0.26
1662650841,0.27
1662652641,0.27
1662654441,0.28
1662656241,0.27
1662658041,0.28
1662659841,0.29
1662661641,0.31
1662663441,0.3
1662665241,0.29
1662667041,0.31
1662668841,0.34
1662670641,0.34
1662672441,0.33
1662674241,0.36
1662676041,0.38
1662677841,0.42
1662679641,0.42
1662681441,0.41
1662683241,0.45
1662685041,0.48
1662686841,0.49
1662688641,0.45
1662690441,0.45
1662692241,0.53
1662694041,0.54
1662695841,0.52
1662697641,0.6
1662699441,0.58
1662701241,0.58
1662703041,0.55
1662704841,0.6
1662706641,0.65
1662708441,0.61
1662710241,0.64
1662712041,0.62
1662713841,0.62
1662715641,0.63
1662717441,0.64
1662719241,0.63
1662721041,0.62
1662722841,0.6
1662724641,0.64
1662726441,0.65
1662728241,0.58
1662730041,0.57
1662731841,0.62
1662733641,0.53
1662735441,0.55
1662737241,0.53
1662739041,0.47
1662740841,0.53
1662742641,0.45
1662744441,0.42
1662746241,0.44
1662748041,0.45
1662749841,0.37
1662751641,0.38
1662753441,0.35
1662755241,0.35
1662757041,0.35
1662758841,0.33
1662760641,0.36
1662762441,0.36
1662764241,0.36
1662766041,0.39
1662767841,0.34
1662769641,0.36
1662771441,0.37
1662773241,0.37
1662775041,0.36
1662776841,0.38
1662778641,0.36
1662780441,0.37
1662782241,0.36
1662784041,0.37
1662785841,0.36
1662787641,0.37
1662789441,0.35
1662791241,0.36
1662793041,0.36
1662794841,0.34
1662796641,0.35
1662798441,0.34
1662800241,0.34
1662802041,0.33
1662803841,0.34
