time,height
1631859979,0.61
1631861779,0.64
1631863579,0.66
1631865379,0.65
1631867179,0.64
1631868979,0.74
1631870779,0.73
1631872579,0.67
1631874379,0.64
1631876179,0.6
1631877979,0.56
1631879779,0.54
1631881579,0.51
1631883379,0.47
1631885179,0.45
1631886979,0.46
1631888779,0.47
1631890579,0.48
1631892379,0.48
1631894179,0.48
1631895979,0.53
1631897779,0.58
1631899579,0.58
1631901379,0.56
1631903179,0.5
1631904979,0.51
1631906779,0.49
1631908579,0.48
1631910379,0.52
1631912179,0.5
1631913979,0.48
1631915779,0.48
1631917579,0.51
1631919379,0.48
1631921179,0.51
1631922979,0.48
1631924779,0.48
1631926579,0.45
1631928379,0.46
1631930179,0.38
1631931979,0.39
1631933779,0.38
1631935579,0.36
1631937379,0.39
1631939179,0.35
1631940979,0.36
1631942779,0.34
1631944579,0.36
1631946379,0.42
1631948179,0.42
1631949979,0.37
1631951779,0.39
1631953579,0.41
1631955379,0.4
1631957179,0.4
1631958979,0.38
1631960779,0.38
1631962579,0.4
1631964379,0.42
1631966179,0.35
1631967979,0.35
1631969779,0.35
1631971579,0.37
1631973379,0.37
1631975179,0.35
1631976979,0.37
1631978779,0.36
1631980579,0.34
1631982379,0.35
1631984179,0.28
1631985979,0.27
1631987779,0.27
1631989579,0.26
1631991379,0.32
1631993179,0.27
1631994979,0.26
1631996779,0.29
1631998579,0.26
1632000379,0.22
1632002179,0.22
1632003979,0.27
1632005779,0.92
1632007579,0.28
1632009379,0.29
1632011179,0.31
1632012979,0.27
1632014779,0.21
1632016579,0.21
1632018379,0.24
1632020179,0.21
1632021979,0.19
1632023779,0.23
1632025579,0.24
1632027379,0.26
1632029179,0.28
1632030979,0.29
1632032779,0.28
1632034579,0.27
1632036379,0.26
1632038179,0.24
1632039979,0.27
1632041779,0.35
1632043579,0.42
1632045379,0.43
1632047179,0.41
1632048979,0.45
1632050779,0.46
1632052579,0.44
1632054379,0.41
1632056179,0.39
1632057979,0.41
1632059779,0.38
1632061579,0.4
1632063379,0.38
1632065179,0.35
1632066979,0.34
1632068779,0.38
1632070579,0.43
1632072379,0.46
1632074179,0.46
1632075979,0.45
1632077779,0.47
1632079579,0.47
1632081379,0.46
1632083179,0.47
1632084979,0.55
1632086779,0.56
1632088579,0.54
1632090379,0.55
1632092179,0.62
1632093979,0.64
1632095779,0.66
1632097579,0.67
1632099379,0.75
1632101179,0.71
1632102979,0.69
1632104779,0.68
1632106579,0.66
1632108379,0.71
1632110179,0.65
1632111979,0.61
1632113779,0.58
1632115579,0.61
1632117379,0.64
1632119179,0.71
1632120979,0.71
1632122779,0.72
1632124579,0.74
1632126379,0.68
1632128179,0.69
1632129979,0.68
1632131779,0.73
1632133579,0.65
1632135379,0.64
1632137179,0.6
1632138979,0.62
1632140779,0.58
1632142579,0.62
1632144379,0.64
1632146179,0.56
1632147979,0.5
1632149779,0.52
1632151579,0.53
1632153379,0.51
1632155179,0.48
1632156979,0.49
1632158779,0.49
1632160579,0.42
1632162379,0.43
1632164179,0.43
1632165979,0.43
1632167779,0.41
1632169579,0.43
1632171379,0.4
1632173179,0.39
1632174979,0.37
1632176779,0.38
1632178579,0.39
1632180379,0.39
1632182179,0.38
1632183979,0.37
1632185779,0.37
1632187579,0.35
1632189379,0.33
1632191179,0.32
1632192979,0.31
1632194779,0.31
1632196579,0.33
1632198379,0.33
1632200179,0.33
1632201979,0.31
1632203779,0.29
1632205579,0.27
1632207379,0.28
1632209179,0.26
1632210979,0.25
1632212779,0.25
1632214579,0.25
1632216379,0.27
1632218179,0.25
1632219979,0.26
1632221779,0.26
1632223579,0.26
1632225379,0.23
1632227179,0.22
1632228979,0.22
1632230779,0.21
1632232579,0.18
1632234379,0.19
1632236179,0.16
1632237979,0.19
1632239779,0.18
1632241579,0.19
1632243379,0.2
1632245179,0.21
1632246979,0.22
1632248779,0.21
1632250579,0.21
1632252379,0.21
1632254179,0.2
1632255979,0.18
1632257779,0.19
1632259579,0.19
1632261379,0.2
1632263179,0.2
1632264979,0.19
1632266779,0.19
1632268579,0.17
1632270379,0.19
1632272179,0.18
1632273979,0.21
1632275779,0.21
1632277579,0.23
1632279379,0.21
1632281179,0.21
1632282979,0.2
1632284779,0.2
1632286579,0.2
1632288379,0.21
1632290179,0.19
1632291979,0.18
1632293779,0.19
1632295579,0.19
1632297379,1.62
1632299179,0.24
1632300979,0.23
1632302779,0.2
1632304579,0.16
1632306379,0.17
1632308179,0.2
1632309979,0.15
1632311779,0.15
1632313579,0.15
1632315379,0.17
1632317179,0.18
1632318979,0.18
1632320779,0.18
1632322579,0.18
1632324379,0.19
1632326179,0.22
1632327979,0.22
1632329779,0.21
1632331579,0.21
1632333379,0.23
1632335179,0.22
1632336979,0.23
1632338779,0.26
1632340579,0.23
1632342379,0.23
1632344179,0.24
1632345979,0.25
1632347779,0.25
1632349579,0.27
1632351379,0.28
1632353179,0.3
1632354979,0.34
1632356779,0.32
1632358579,0.35
1632360379,0.39
1632362179,0.36
1632363979,0.35
1632365779,0.33
1632367579,0.32
1632369379,0.38
1632371179,0.35
1632372979,0.31
1632374779,0.35
1632376579,0.42
1632378379,0.51
1632380179,0.53
1632381979,0.61
1632383779,0.56
1632385579,0.55
1632387379,0.51
1632389179,0.48
1632390979,0.49
1632392779,0.53
1632394579,0.58
1632396379,0.62
1632398179,0.62
1632399979,0.6
1632401779,0.69
1632403579,0.65
1632405379,0.67
1632407179,0.65
1632408979,0.66
1632410779,0.69
1632412579,0.71
1632414379,0.67
1632416179,0.67
1632417979,0.63
1632419779,0.69
1632421579,0.71
1632423379,0.66
1632425179,0.64
1632426979,0.58
1632428779,0.57
1632430579,0.6
1632432379,0.56
1632434179,0.57
1632435979,0.57
1632437779,0.59
1632439579,0.57
1632441379,0.6
1632443179,0.55
1632444979,0.57
1632446779,0.57
1632448579,0.59
1632450379,0.61
1632452179,0.6
1632453979,0.57
1632455779,0.58
1632457579,0.54
1632459379,0.55
1632461179,0.56
1632462979,0.56
1632464779,0.51
1632466579,0.56
1632468379,0.45
1632470179,0.49
1632471979,0.45
1632473779,0.42
1632475579,0.42
1632477379,0.43
1632479179,0.42
1632480979,0.41
1632482779,0.42
1632484579,0.44
1632486379,0.43
1632488179,0.45
1632489979,0.41
1632491779,0.44
1632493579,0.47
1632495379,0.41
1632497179,0.43
1632498979,0.41
1632500779,0.39
1632502579,0.36
1632504379,0.32
1632506179,0.32
1632507979,0.32
1632509779,0.32
1632511579,0.3
1632513379,0.31
1632515179,0.32
1632516979,0.31
1632518779,0.33
1632520579,0.31
1632522379,0.33
1632524179,0.3
1632525979,0.29
1632527779,0.3
1632529579,0.26
1632531379,0.22
1632533179,0.21
1632534979,0.21
1632536779,0.23
1632538579,0.22
1632540379,0.23
1632542179,0.22
1632543979,0.21
1632545779,0.21
1632547579,0.21
1632549379,0.18
1632551179,0.17
1632552979,0.16
1632554779,0.17
1632556579,0.15
1632558379,0.13
1632560179,0.12
1632561979,0.12
1632563779,0.15
1632565579,0.15
1632567379,0.13
1632569179,0.12
1632570979,0.12
1632572779,0.12
1632574579,0.12
1632576379,0.13
1632578179,0.12
1632579979,0.12
1632581779,0.13
1632583579,0.12
1632585379,0.13
1632587179,0.11
